timestamp,open_price,high_price,low_price,close_price,volume,timestamp2,open_date,open_time
2025-04-25 03:00:00+00:00,93023.76,93187.49,92881.58,93150.13,24.81284,2025-04-25 00:00:00-03:00,2025-04-25,00:00:00
2025-04-25 03:15:00+00:00,93150.12,93238.0,92966.4,93168.59,51.43351,2025-04-25 00:15:00-03:00,2025-04-25,00:15:00
2025-04-25 03:30:00+00:00,93168.59,93400.71,93158.02,93348.01,33.74783,2025-04-25 00:30:00-03:00,2025-04-25,00:30:00
2025-04-25 03:45:00+00:00,93346.97,93424.0,93310.01,93346.38,15.18063,2025-04-25 00:45:00-03:00,2025-04-25,00:45:00
2025-04-25 04:00:00+00:00,93346.37,93528.9,93292.46,93508.77,37.47306,2025-04-25 01:00:00-03:00,2025-04-25,01:00:00
2025-04-25 04:15:00+00:00,93508.77,93511.99,93262.01,93262.01,20.74933,2025-04-25 01:15:00-03:00,2025-04-25,01:15:00
2025-04-25 04:30:00+00:00,93262.01,93282.0,93115.0,93230.84,33.30388,2025-04-25 01:30:00-03:00,2025-04-25,01:30:00
2025-04-25 04:45:00+00:00,93230.84,93244.0,93075.83,93083.98,17.73309,2025-04-25 01:45:00-03:00,2025-04-25,01:45:00
2025-04-25 05:00:00+00:00,93083.98,93387.05,93038.19,93371.93,25.99449,2025-04-25 02:00:00-03:00,2025-04-25,02:00:00
2025-04-25 05:15:00+00:00,93371.99,93452.26,93338.09,93422.82,13.84866,2025-04-25 02:15:00-03:00,2025-04-25,02:15:00
2025-04-25 05:30:00+00:00,93422.82,93439.31,93284.0,93301.99,12.72012,2025-04-25 02:30:00-03:00,2025-04-25,02:30:00
2025-04-25 05:45:00+00:00,93307.42,93354.69,93240.01,93240.02,10.11803,2025-04-25 02:45:00-03:00,2025-04-25,02:45:00
2025-04-25 06:00:00+00:00,93240.02,93440.49,93240.02,93365.34,23.31462,2025-04-25 03:00:00-03:00,2025-04-25,03:00:00
2025-04-25 06:15:00+00:00,93365.33,93479.99,93244.01,93465.99,15.43424,2025-04-25 03:15:00-03:00,2025-04-25,03:15:00
2025-04-25 06:30:00+00:00,93465.99,93615.99,93460.02,93570.8,45.66362,2025-04-25 03:30:00-03:00,2025-04-25,03:30:00
2025-04-25 06:45:00+00:00,93570.8,93646.65,93479.34,93576.01,42.05891,2025-04-25 03:45:00-03:00,2025-04-25,03:45:00
2025-04-25 07:00:00+00:00,93576.01,93820.22,93576.01,93626.44,54.4777,2025-04-25 04:00:00-03:00,2025-04-25,04:00:00
2025-04-25 07:15:00+00:00,93626.45,93691.99,93539.4,93546.01,25.91742,2025-04-25 04:15:00-03:00,2025-04-25,04:15:00
2025-04-25 07:30:00+00:00,93546.01,93720.28,93532.69,93709.99,26.26929,2025-04-25 04:30:00-03:00,2025-04-25,04:30:00
2025-04-25 07:45:00+00:00,93709.98,93892.52,93582.53,93805.98,54.60446,2025-04-25 04:45:00-03:00,2025-04-25,04:45:00
2025-04-25 08:00:00+00:00,93805.98,93921.82,93651.42,93667.98,62.08679,2025-04-25 05:00:00-03:00,2025-04-25,05:00:00
2025-04-25 08:15:00+00:00,93667.98,93842.0,93646.01,93830.76,66.60811,2025-04-25 05:15:00-03:00,2025-04-25,05:15:00
2025-04-25 08:30:00+00:00,93830.75,93836.11,93708.02,93724.0,29.41779,2025-04-25 05:30:00-03:00,2025-04-25,05:30:00
2025-04-25 08:45:00+00:00,93724.0,93774.49,93675.1,93709.1,46.60159,2025-04-25 05:45:00-03:00,2025-04-25,05:45:00
2025-04-25 09:00:00+00:00,93709.1,93709.1,93608.01,93695.52,71.87965,2025-04-25 06:00:00-03:00,2025-04-25,06:00:00
2025-04-25 09:15:00+00:00,93695.52,93695.52,93573.77,93677.02,36.81045,2025-04-25 06:15:00-03:00,2025-04-25,06:15:00
2025-04-25 09:30:00+00:00,93677.02,93899.98,93667.34,93733.19,61.95769,2025-04-25 06:30:00-03:00,2025-04-25,06:30:00
2025-04-25 09:45:00+00:00,93733.2,93894.0,93694.44,93846.8,52.07104,2025-04-25 06:45:00-03:00,2025-04-25,06:45:00
2025-04-25 10:00:00+00:00,93846.79,93893.99,93715.46,93785.98,68.2904,2025-04-25 07:00:00-03:00,2025-04-25,07:00:00
2025-04-25 10:15:00+00:00,93785.98,93992.12,93701.95,93728.03,63.89237,2025-04-25 07:15:00-03:00,2025-04-25,07:15:00
2025-04-25 10:30:00+00:00,93724.01,93776.36,93630.0,93710.01,40.64907,2025-04-25 07:30:00-03:00,2025-04-25,07:30:00
2025-04-25 10:45:00+00:00,93710.01,93785.99,93630.0,93675.6,80.83271,2025-04-25 07:45:00-03:00,2025-04-25,07:45:00
2025-04-25 11:00:00+00:00,93675.61,94048.24,93675.61,94048.24,44.52866,2025-04-25 08:00:00-03:00,2025-04-25,08:00:00
2025-04-25 11:15:00+00:00,94048.23,94236.36,93995.77,94217.19,96.59258,2025-04-25 08:15:00-03:00,2025-04-25,08:15:00
2025-04-25 11:30:00+00:00,94217.19,94326.0,94120.0,94272.47,51.6405,2025-04-25 08:30:00-03:00,2025-04-25,08:30:00
2025-04-25 11:45:00+00:00,94272.46,94682.0,94262.38,94672.0,91.92743,2025-04-25 08:45:00-03:00,2025-04-25,08:45:00
